question_text,type,label,options
How many acres of ragi do you plant?,entry,acres_ragi,
How many of those acres are dry?,entry,dry,
How many of those acres are wet?,entry,wet,
What is the gradient?,entry,gradient,
What is the contour bund quality?,entry,contour_bund,
What is the title deed type?,entry,title_deed,
Who is the title holder?,entry,title_holder,
What is the title holder's relationship to farmer soil type?,entry,soil_relationship,
What is the soil type?,entry,soil_type,
What is the water source?,entry,water_source,
What is the water source type?,entry,water_source_type,
Who is the owner?,entry,owner,
What is the summer water level in feet?,entry,summer_water,
What is the winter water level in feet?,entry,winter_water,
Pump HP,entry,pump,
What is the latitude?,entry,latitude,
What is the longitude?,entry,longitude,
